Quarter,A_HK,,A_KL,,A_NT,,B_HK,,B_KL,,B_NT,,C_HK,,C_KL,,C_NT,,D_HK,,D_KL,,D_NT,,E_HK,,E_KL,,E_NT,
Quarter,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
01-03/1999,42777,,36559,,36830,,50010,,38194,,35682,,61645,,46165,,42045,,63326,,53989,,49645,,72071,,61940,Z,47795,
04-06/1999,43276,,36420,,37066,,50247,,38390,,36402,,63070,,45222,,41668,,67217,,50603,,46399,,77887,,80813,Z,47953,
07-09/1999,41667,,34464,,35125,,49729,,36101,,34969,,59646,,41719,,40050,,67756,,49658,,47339,,79170,,70276,Z,46212,
10-12/1999,38897,,33898,,33226,,46717,,35587,,32785,,57991,,42179,,40640,,64553,,47509,,45566,,81220,,76383,Z,47712,
01-03/2000,39026,,33347,,33756,,47301,,34072,,33686,,59167,,41727,,39058,,66270,,49590,,45954,,80475,,73165,Z,47982,
04-06/2000,37008,,31011,,31526,,43370,,31918,,31531,,53813,,38280,,39855,,62455,,47871,,40922,,80500,,62375,Z,46880,
07-09/2000,34145,,30592,,31071,,42483,,31805,,30617,,54120,,37198,,35347,,62417,,43103,,39625,,76272,,74839,Z,43305,
10-12/2000,33860,,29038,,29425,,41442,,28993,,29509,,51895,,37060,,34942,,59662,,45250,,38419,,86877,,74320,Z,40074,
01-03/2001,32955,,27863,,28334,,40630,,29031,,28801,,50401,,34073,,34415,,58098,,45283,,35679,,70382,,54162,Z,34009,
04-06/2001,32708,,27521,,28609,,40059,,29565,,28253,,53556,,35967,,34147,,59330,,38666,,36646,,71933,,61931,Z,35534,
07-09/2001,31970,,26091,,28166,,39339,,28256,,28377,,46702,,32757,,31968,,56125,,41605,,33347,,72171,,60268,Z,32621,
10-12/2001,30193,,24929,,26374,,35673,,26449,,26031,,45219,,32218,,30087,,53370,,39138,,32948,,66060,,59015,Z,39134,
01-03/2002,30904,,24861,,25789,,35810,,26318,,25184,,42658,,31800,,29760,,49177,,40516,,32522,,70236,,47869,Z,35754,
04-06/2002,30237,,23772,,25176,,35051,,25798,,25631,,44559,,31573,,30447,,53837,,36981,,33833,,67932,,48395,,38117,
07-09/2002,27960,,22840,,24106,,33527,,24105,,24433,,40363,,30626,,28436,,50018,,38663,,30899,,62677,,45778,Z,33530,
10-12/2002,26040,,21594,,22283,,31629,,22320,,22838,,40044,,28574,,29060,,53658,,33831,,29429,,61936,,60434,Z,33041,
01-03/2003,25372,,20999,,21285,,29997,,21512,,21440,,40009,,27380,,26287,,47417,,34803,,30499,,64929,,52273,Z,34525,
04-06/2003,24509,,20186,,20080,,27830,,20505,,20270,,36977,,25574,,24902,,44720,,33805,,28580,,60938,,41951,Z,29708,
07-09/2003,24924,,20309,,20103,,30036,,21339,,20818,,38486,,27355,,26197,,49010,,33362,,28186,,65316,,44937,Z,32861,
10-12/2003,27423,,21661,,21740,,32907,,23717,,22368,,43987,,30468,,28768,,49984,,34896,,33774,,70372,,67145,Z,37137,
01-03/2004,31501,,23866,,25179,,39849,,31128,,25994,,54047,,43781,,33620,,62933,,48348,,39089,,87748,,65633,,42683,
04-06/2004,30816,,24964,,26321,,39295,,30925,,27615,,53108,,43957,,34659,,62740,,50352,,40473,,89177,,75985,Z,37298,
07-09/2004,32211,,25025,,26678,,41313,,32008,,28338,,57012,,45939,,35635,,62781,,67414,,41558,,96288,,62611,,46614,
10-12/2004,35146,,26726,,28085,,45502,,36538,,29837,,62072,,51877,,38573,,75355,,74698,,45829,,106838,,94712,,48227,
01-03/2005,38270,,29202,,30678,,49714,,40639,,32126,,65189,,58841,,40179,,80619,,72141,,48268,,105677,,81091,Z,50970,
04-06/2005,39507,,30627,,31079,,50046,,39514,,33291,,68167,,57460,,42568,,85605,,72099,,50432,,126747,,92157,Z,63346,
07-09/2005,39745,,30297,,30506,,48922,,38963,,33475,,67833,,55180,,42905,,82160,,77252,,52558,,113932,,112296,Z,58356,
10-12/2005,39164,,29234,,29194,,47438,,34093,,31486,,65752,,51997,,40731,,80918,,70577,,49710,,116578,,104690,Z,52487,
01-03/2006,41052,,29371,,29834,,51072,,38341,,32039,,67835,,56608,,41301,,83052,,73459,,46795,,121919,,100387,Z,52490,
04-06/2006,43278,,30107,,29215,,52200,,38889,,31841,,71447,,58557,,42428,,86729,,79547,,46950,,116438,,103390,Z,56682,
07-09/2006,43029,,30323,,28638,,52837,,37463,,30521,,68076,,58175,,41150,,83719,,74675,,50571,,131047,,101564,Z,58420,
10-12/2006,43906,,30470,,28060,,52776,,37575,,30337,,69930,,54964,,41326,,89658,,73962,,50183,,113587,,93350,Z,56143,
01-03/2007,46079,,32661,,29939,,54737,,41423,,31557,,75308,,61569,,40497,,90384,,80034,,54241,,125048,,103538,Z,65108,
04-06/2007,49530,,34385,,30889,,57590,,42136,,32298,,78825,,63761,,42435,,99121,,83001,,55358,,138878,,106752,Z,58146,
07-09/2007,50859,,36681,,31991,,60265,,46555,,33322,,81646,,70447,,43807,,107819,,83878,,53315,,151612,,128058,,65876,
10-12/2007,58856,,41567,,35198,,69090,,55226,,37178,,91625,,92187,,48022,,120090,,113066,,60657,,175729,,145530,,81762,
01-03/2008,66783,,43543,,38695,,77111,,57534,,38548,,101443,,93864,,49210,,125713,,103547,,61848,,176942,,125109,Z,82989,
