Quarter,A_HK,,A_KL,,A_NT,,B_HK,,B_KL,,B_NT,,C_HK,,C_KL,,C_NT,,D_HK,,D_KL,,D_NT,,E_HK,,E_KL,,E_NT,
Quarter,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
01-03/1999,195,,171,,133,,200,,164,,117,,245,,181,,146,,272,,188,,183,,304,,195,,179,
04-06/1999,192,,174,,130,,195,,155,,114,,247,,181,,137,,277,,187,,170,,303,,213,Z,169,
07-09/1999,195,,175,,132,,201,,155,,115,,253,,182,,136,,273,,188,,172,,313,,151,,174,
10-12/1999,187,,174,,138,,190,,156,,121,,248,,189,,143,,272,,183,,180,,308,,188,,179,
01-03/2000,188,,169,,133,,190,,151,,116,,245,,169,,138,,270,,190,,179,,310,,200,Z,188,
04-06/2000,193,,166,,128,,197,,146,,116,,250,,168,,144,,276,,183,,176,,304,,182,,160,
07-09/2000,191,,163,,128,,199,,148,,116,,255,,170,,144,,282,,196,,186,,328,,196,,175,
10-12/2000,193,,165,,131,,204,,154,,120,,259,,182,,149,,277,,210,,197,,320,,212,,174,
01-03/2001,193,,159,,125,,196,,153,,116,,260,,204,,148,,282,,265,,185,,322,,247,,189,
04-06/2001,190,,155,,121,,192,,144,,111,,255,,180,,139,,288,,234,,182,,324,,191,Z,179,
07-09/2001,184,,151,,119,,193,,145,,110,,254,,182,,139,,292,,225,,170,,339,,188,,191,
10-12/2001,181,,147,,116,,183,,142,,112,,245,,172,,141,,263,,203,,167,,324,,174,Z,188,
01-03/2002,175,,140,,107,,175,,135,,103,,245,,175,,132,,262,,198,,169,,310,,206,,176,
04-06/2002,168,,133,,106,,171,,134,,101,,233,,170,,119,,245,,206,,158,,308,,143,Z,158,
07-09/2002,163,,135,,104,,167,,131,,99,,214,,164,,122,,241,,193,,149,,313,,179,,175,
10-12/2002,153,,129,,103,,159,,125,,102,,209,,146,,119,,245,,177,,152,,290,,222,Z,165,
01-03/2003,153,,121,,98,,154,,121,,93,,197,,164,,111,,227,,178,,144,,272,,183,,164,
04-06/2003,147,,122,,93,,143,,116,,85,,185,,160,,101,,216,,188,,129,,263,,198,,131,
07-09/2003,155,,121,,89,,147,,123,,85,,192,,155,,99,,211,,163,,126,,257,,181,,151,
10-12/2003,155,,128,,95,,145,,123,,91,,191,,151,,100,,209,,160,,134,,253,,145,Z,141,
01-03/2004,166,,125,,99,,164,,128,,94,,205,,150,,115,,220,,151,,144,,260,,168,Z,165,
04-06/2004,166,,125,,99,,163,,132,,93,,211,,167,,115,,236,,163,,155,,268,,144,,154,
07-09/2004,171,,124,,99,,175,,136,,94,,213,,178,,114,,238,,201,,150,,287,,164,,176,
10-12/2004,165,,128,,101,,168,,136,,99,,223,,183,,113,,242,,216,,155,,285,,163,,157,
01-03/2005,172,,131,,104,,172,,143,,101,,236,,186,,123,,255,,198,,173,,283,,216,Z,168,
04-06/2005,173,,133,,104,,172,,140,,96,,237,,185,,119,,252,,181,,149,,307,,190,Z,138,
07-09/2005,200,,137,,107,,196,,142,,102,,245,,195,,121,,272,,220,,161,,337,,188,Z,199,
10-12/2005,199,,161,,112,,191,,158,,105,,252,,204,,125,,268,,213,,164,,338,,208,Z,198,
